accession,virus,virus_genus,host_species,cell_type,assay,data_modality,raw_counts_available,fastq_available,n_samples,n_infected,n_controls,time_points,perturbation_mutant,tier,included_in_primary_meta,reason
GSE278320,Vaccinia virus (WR),Orthopoxvirus,Homo sapiens,HAP1,RNA-seq + Ribo-seq + polysome,bulk,yes,yes,38,6,3,single,parental + RACK1/eIF3 contexts,A,yes,Primary anchor; filename-verified total-fraction count files; clean mock vs VacV contrast
GSE284044,Vaccinia virus,Orthopoxvirus,Chlorocebus sabaeus (Vero),Vero,RNA-seq (MeRIP input) + m6A,bulk,partial,yes,24,12,12,2/6/24 hpi,wild-type time course,A,yes,Author DESeq2 tables harmonized; ortholog symbol mapping to human; temporal validation
GSE287860,Myxoma virus M003 effector,Leporipoxvirus,Homo sapiens,human cancer,RNA-seq,bulk,yes,yes,6,3,3,single,M003.1 vs mCherry,A,yes,Direct count matrix; clean effector contrast
GSE288000,Myxoma virus M003 effector,Leporipoxvirus,Homo sapiens,human (5 KO backgrounds),RNA-seq,bulk,yes,yes,30,15,15,single,M003 vs mCherry across NTC/N4BP1/ZC3H12A/TRIM25/dKO,A,yes,Direct count matrix; five-background robustness panel; NTC used in primary meta
GSE185520,Vaccinia virus D10 decapping,Orthopoxvirus,Homo sapiens,inducible human,RNA-seq (cufflinks),bulk,no,yes,30,varies,varies,3/6/18 hpi,D10 WT/mutant/deltaD9,B,no,Only cufflinks FPKM/log2FC result tables; used for external directional validation only
GSE288433,Myxoma virus (MYXV screen),Leporipoxvirus,Homo sapiens,human,RNA-seq screen,bulk-screen,partial,yes,19,varies,varies,single,barcoded MYXV screen,C,no,Screen-style design requires barcode decoding; contextual only
GSE329296,Poxvirus (MURV-seq leaders),Orthopoxvirus,Homo sapiens,human,5' leader/terminus seq,specialized,no,yes,12,varies,0,single,leader diversity assay,C,no,Specialized 5'-leader assay; not host DGE-comparable; contextual hypothesis layer
GSE228963,Vaccinia virus,Orthopoxvirus,Orthopoxvirus vaccinia,viral,viral mRNA translation,viral-side,no,yes,6,6,0,single,viral TPM only,C,no,Viral transcript side only; no host control contrast
GSE137757,Oncolytic virus (MG1/VacV context),mixed,Mus musculus,mouse,RNA-seq + Ribo-seq,bulk,partial,yes,16,varies,varies,single,5' leader Inpp5e,C,no,Mouse; translation-efficiency normalized tables; ortholog caveats; contextual
GSE280044,Vaccinia poxin (B2R),Orthopoxvirus,Homo sapiens,NK-92,RNA-seq,bulk,partial,yes,6,3,3,single,poxin B2R expression,C,no,Single viral gene expression rather than infection; not whole-virus host shutoff
GSE228918,Entomopoxvirus (mutualistic),Entomopoxvirinae,Zeugodacus/Ceratitis/Bactrocera,insect,RNA-seq,bulk,partial,yes,81,varies,varies,multiple,mutualistic infection,C,no,Insect hosts; no human ortholog comparability for translation factors
GSE259380,Oncolytic Vaccinia (TG6050),Orthopoxvirus,Mus musculus,tumor,RNA-seq,bulk,partial,yes,149,varies,varies,multiple,engineered IL12/anti-CTLA4,C,no,Tumor microenvironment immunotherapy context; not host-shutoff biology
